media, bias, youtubeChannel, viewCount, subscribersCount, videoCount
project syndicate, center, https://www.youtube.com/channel/UC1ieoHqKW-yYgDhLHIcx28w, 2036863650, 9929054, 3265
abs-cbn news, center, https://www.youtube.com/channel/UCE2606prvXQc_noEqKxVJXA, 3229667988, 4227574, 76545
al majalla, center, https://www.youtube.com/channel/UC6E13U6cZmwpfGVwBgC4isQ, 605793032, 3013868, 722
world news, center, https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA, 808597227, 2856119, 8678
brief.news, center, https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA, 808597227, 2856108, 8678
al arabiya, center, https://www.youtube.com/channel/UCahpxixMCwoANAftn6IxkTg, 1339724521, 2652462, 49862
big think, center, https://www.youtube.com/channel/UCvQECJukTDE2i6aCoMnS-Vg, 268571789, 2343188, 10725
today i found out, center, https://www.youtube.com/channel/UC64UiPJwM_e9AqAd7RiD7JA, 261211868, 1489899, 1095
mental floss, center, https://www.youtube.com/channel/UCpZ5qUqpW4hW4zdfuBxMSJA, 179639954, 1343002, 386
associated press, center, https://www.youtube.com/channel/UC52X5wxOL_s5yw0dQk7NtgA, 1996018328, 886191, 118447
know your meme, center, https://www.youtube.com/channel/UCdsE9y553KP7Z7MDXzM1sRg, 113973848, 797234, 171
india today, center, https://www.youtube.com/channel/UCYPvAwZP8pZhSMW8qs7cVCw, 230631853, 742604, 52233
voice of america, center, https://www.youtube.com/channel/UCKyTokYo0nK2OA-az-sDijA, 81829404, 684201, 3011
big news network, center, https://www.youtube.com/channel/UCLoNQH9RCndfUGOb2f7E1Ew, 664891337, 656743, 18526
the times of india, center, https://www.youtube.com/channel/UCckHqySbfy5FcPP6MD_S-Yg, 306518755, 634243, 74595
euronews, center, https://www.youtube.com/channel/UCSrZ3UV4jOidv8ppoVuvW9Q, 445701745, 518972, 62150
the economist, center, https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ, 59530571, 511751, 1692
china global television network (cgtn), center, https://www.youtube.com/channel/UCgrNz-aDmcr2uuto8_DL2jg, 451812008, 449211, 55405
relevant magazine, center, https://www.youtube.com/channel/UC4WdIJ_D_lJb87uE3JV5SgQ, 103097091, 286619, 294
abc news australia, center, https://www.youtube.com/channel/UCVgO39Bk5sMo66-6o6Spn6Q, 193667568, 278723, 52505
consumer reports, center, https://www.youtube.com/channel/UCOClvgLYa7g75eIaTdwj_vg, 118937859, 263509, 2278
xinhua news agency, center, https://www.youtube.com/channel/UCHBDXQDmqnaqIEPdEapEFVQ, 175406337, 258940, 27819
consumerist, center, https://www.youtube.com/channel/UC2DYZIou2ZN-stBPv3aks6Q, 356611231, 246187, 514
world economic forum, center, https://www.youtube.com/channel/UCw-kH-Od73XDAt7qtH9uBYA, 30473090, 224410, 6135
c-span, center, https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg, 189423062, 221630, 6512
afp (agence france presse), center, https://www.youtube.com/channel/UCckz6n8QccTd6K_xdwKqa0A, 206171379, 212217, 78681
the zdf (zweites deutsches fernsehen), center, https://www.youtube.com/channel/UC53bIpnef1pwAx69ERmmOLA, 60509217, 210487, 900
the observatory, center, https://www.youtube.com/channel/UC0TajapY2muvQ_YBFC9sbvw, 89205888, 207584, 64
rte (radio television of ireland), center, https://www.youtube.com/channel/UCGnlgHCdAsCNeAdNRTbS4hg, 200575793, 206598, 7106
financial times, center, https://www.youtube.com/channel/UCoUxsWakJucWg46KW5RsvPw, 39813926, 200428, 8842
taiwan news, center, https://www.youtube.com/channel/UCdp5pYDJCpl5WFk3jFEjWHw, 85569525, 185808, 1822
harvard business review, center, https://www.youtube.com/channel/UCWo4IA01TXzBeGJJKWHOG9g, 10590883, 179007, 255
military.com, center, https://www.youtube.com/channel/UC7F2QS7wk6Eq9Z4uabl5rmg, 30002520, 176451, 193
vocativ, center, https://www.youtube.com/channel/UCe2PK9vNxfogdvkx4jqB8uQ, 79298311, 162265, 3179
wion (world is one news), center, https://www.youtube.com/channel/UC_gUM8rL-Lrg6O3adPW9K1g, 51001139, 158198, 22688
the indian express, center, https://www.youtube.com/channel/UCJEDFSxHHOW1PpBccdSxOTA, 66309203, 154155, 7318
makeuseof, center, https://www.youtube.com/channel/UCfXdejDvNviqilmJ9DvGuow, 11658981, 152581, 670
news24 (south africa), center, https://www.youtube.com/channel/UC_vRepQuzI527GtEP1pGYZw, 118218100, 124545, 15504
patch, center, https://www.youtube.com/channel/UCxymwfnYdA9LXuPvlkljy1w, 19017649, 112041, 942
recode, center, https://www.youtube.com/channel/UCMDxbhGcsE7EnknxPEzC_Iw, 17581054, 108519, 482
investopedia, center, https://www.youtube.com/channel/UCvwFhI0mrIWDiZUabRapS5Q, 4289183, 103898, 180
