media,bias,youtubeChannel,viewCount,subscribersCount,videoCount
every news here,conspiracy,https://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,18371299254,64504261,3581
popular technology,conspiracy,https://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw,1892541002,6429101,4226
revolution radio,conspiracy,https://www.youtube.com/channel/UCqC_GY2ZiENFz2pwL0cSfAw,1706943986,3025928,170
infowars,conspiracy,https://www.youtube.com/channel/UCvsye7V9psc-APX6wV1twLg,1592865456,2415735,35736
jones report,conspiracy,https://www.youtube.com/channel/UCvsye7V9psc-APX6wV1twLg,1592865456,2415735,35736
we are anonymous,conspiracy,https://www.youtube.com/channel/UCA071Pllf2wk-B8Rkwt47bQ,120555737,2083301,278
anonymous,conspiracy,https://www.youtube.com/channel/UCA071Pllf2wk-B8Rkwt47bQ,120553132,2083299,278
natural cures,conspiracy,https://www.youtube.com/channel/UC_gcEbkXOt8j7NUoxulEaTA,208489549,1831150,599
pak alert press,conspiracy,https://www.youtube.com/channel/UCJekW1Vj5fCVEGdye_mBN6Q,711184921,1691339,25960
the daily conspiracy,conspiracy,https://www.youtube.com/channel/UCPZiqlNI3RLyF47QTdq93GQ,278412065,1658868,608
jews news,conspiracy,https://www.youtube.com/channel/UC_vt34wimdCzdkrzVejwX9g,325301012,1597288,14492
prison planet,conspiracy,https://www.youtube.com/channel/UCittVh8imKanO_5KohzDbpg,303450132,1297331,647
dr. axe,conspiracy,https://www.youtube.com/channel/UCgtp61tf9tYF7nG_gIQ94LQ,107707730,1278166,697
space.news,conspiracy,https://www.youtube.com/channel/UCrMePiHCWG4Vwqv3t7W9EFg,119890619,1051947,447
from the trenches world report,conspiracy,https://www.youtube.com/channel/UCUcyEsEjhPEDf69RRVhRh4A,141804690,884066,608
christian times newspaper,conspiracy,https://www.youtube.com/channel/UCU1iJ2ChGwaNLvBjip0p2Ag,191469242,862564,1068
freedomain radio,conspiracy,https://www.youtube.com/channel/UCC3L8QaxqEGUiBC252GHy3w,248919884,803090,2977
alternative news network,conspiracy,https://www.youtube.com/channel/UCLoNQH9RCndfUGOb2f7E1Ew,664875788,656740,18525
anti news network,conspiracy,https://www.youtube.com/channel/UCLoNQH9RCndfUGOb2f7E1Ew,664875788,656740,18525
extraordinary news,conspiracy,https://www.youtube.com/channel/UCYw2_F1xHedGWww3MR8YAnw,61225428,636906,416
we are change,conspiracy,https://www.youtube.com/channel/UChwwoeOZ3EJPobW83dgQfAg,111931731,522759,1810
storm clouds gathering,conspiracy,https://www.youtube.com/channel/UCEHsSWvrGVSIA63OV3J6vhA,43134716,513752,127
alternative media television (amtv),conspiracy,https://www.youtube.com/channel/UChD-zWutIego-bcHKOatFWA,14263685,507554,205
david icke,conspiracy,https://www.youtube.com/channel/UCAhmDfQ1LfOYECmNNWgXJ7Q,64683290,469807,650
nutritionfacts.org,conspiracy,https://www.youtube.com/channel/UCddn8dUxYdgJz3Qr5mjADtA,84260143,380384,1564
ihealthtube,conspiracy,https://www.youtube.com/channel/UCA2W3T-G5egtVxBBdumQxHQ,62023492,302513,3345
mercola,conspiracy,https://www.youtube.com/channel/UCxscQY7X0mtnaCbkGTjZ17g,86738585,272995,2156
the corbett report,conspiracy,https://www.youtube.com/channel/UC7TvL4GlQyMBLlUsTrN_C4Q,54654332,265106,1439
rapture news network,conspiracy,https://www.youtube.com/channel/UC3q-ByZ2eoOikcEiajMYXXA,50790988,224805,2195
thrive movement,conspiracy,https://www.youtube.com/channel/UCMffZS4_Fp-e-xG1u1IXoNg,37710578,205265,304
x22 report,conspiracy,https://www.youtube.com/channel/UCB1o7_gbFp2PLsamWxFenBg,64051401,190604,2390
press for truth,conspiracy,https://www.youtube.com/channel/UCMOWB-s0Kek9o9sS8xA_kZQ,24278737,176152,1249
real news 24,conspiracy,https://www.youtube.com/channel/UCre-gaUAcOgWJZKPOH6CpAg,48260238,165449,354
usawatchdog.com,conspiracy,https://www.youtube.com/channel/UCG-G8LLr38fQUNZU8K0t-EA,56316294,157215,983
vigilant citizen,conspiracy,https://www.youtube.com/channel/UCnCUOl0k7asaZyNtl68EasA,23679281,149846,210
real jew news,conspiracy,https://www.youtube.com/channel/UCtBqVgzL_cDv_t9o2hFiXXg,36961132,141399,436
christian broadcasting network (cbn),conspiracy,https://www.youtube.com/channel/UCj-Mjn68ap6Hgj6sxp2rpRA,74987078,140566,9565
viral news network,conspiracy,https://www.youtube.com/channel/UCXFTzz_5ryyq_okVlM4sdWA,16591026,134089,1292
global healing center,conspiracy,https://www.youtube.com/channel/UCUYI_ovPG0xO3mCjVCWvcbA,18189564,132755,262
alt-market,conspiracy,https://www.youtube.com/channel/UCkpt3vvZ0Y0wvTX2L-lkxsg,8043320,127496,435
behold israel,conspiracy,https://www.youtube.com/channel/UCa3C7WpFobavsDJdkKUtodw,13192199,109006,232
the truth about cancer,conspiracy,https://www.youtube.com/channel/UCC0Ff6iAdp-D6p8Nj-59yYQ,18499674,108186,402
underground health,conspiracy,https://www.youtube.com/channel/UCBQ_AWOz0xD-3ldMpf4nRyQ,7643650,106454,349
south front,conspiracy,https://www.youtube.com/channel/UCaV101EM1QayFkP0E7zwXCg,35963513,104949,1341
