media,bias,youtubeChannel,viewCount,subscribersCount,videoCount
this,left,https://www.youtube.com/channel/UCPT9_sNLoBLjH1uea7zpVIA,1356457867,5953621,785
vox,left,https://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA,978888821,4355926,854
cnn,left,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,3336995287,4246614,141852
young turks,left,https://www.youtube.com/channel/UC1yBKRuGpC1tSM73A0ZjYjQ,4294839709,4013553,33411
independent reporter (ir.net),left,https://www.youtube.com/channel/UC1yBKRuGpC1tSM73A0ZjYjQ,4294839709,4013547,33411
global voices,left,https://www.youtube.com/channel/UCJYtYkiGldqX6Ne938j-k2g,570790138,2416550,183
gq magazine,left,https://www.youtube.com/channel/UCsEukrAd64fqA7FjwkmZ_Dw,775844548,2398685,2128
our voice ny,left,https://www.youtube.com/channel/UCqnbDFdCpuN8CMEg0VuEBqA,590491394,1381379,9229
red pepper,left,https://www.youtube.com/channel/UC-BG8jc9gI_BpobNXldQuFw,117666995,1279812,344
msnbc,left,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,954696519,1053122,14565
vanity fair,left,https://www.youtube.com/channel/UCIsbLox_y9dCIMLd8tdC6qg,407558372,861550,1874
daily news bin,left,https://www.youtube.com/channel/UCoMdktPbSTixAyNGwb-UYkQ,312007613,801908,9240
the source newpaper (la source),left,https://www.youtube.com/channel/UCoMdktPbSTixAyNGwb-UYkQ,312007613,801908,9240
the lily,left,https://www.youtube.com/channel/UCQCJ4E2Nc9XaCL7O_VFVEjA,479970491,722103,78
mashable,left,https://www.youtube.com/channel/UCL8Nxsa1LB9DrMTHtt3IKiw,201379202,712932,3915
cosmopolitan,left,https://www.youtube.com/channel/UC4LADtN8xwppFydHUB1s5uA,221569846,694299,2299
citizen critics,left,https://www.youtube.com/channel/UCWCw2Sd7RlYJ2yuNVHDWNOA,294430566,691599,2064
huffington post (huffpost),left,https://www.youtube.com/channel/UCZfsrIV68Oegr5bJgAMLBDA,300977661,459267,1940
elite daily,left,https://www.youtube.com/channel/UCqLj_VGACwmDa0FZ4UV3j-w,161873658,424249,728
democracy now,left,https://www.youtube.com/channel/UCzuqE7-t13O4NIDYJfakrhw,109874730,389321,9140
the florida squeeze,left,https://www.youtube.com/channel/UCF9dRCY6GEJlrVC_pHgggyw,31637449,370538,126
telesur,left,https://www.youtube.com/channel/UCbHFKMtqLYkIBRiPHJwxu_w,242506366,343312,299499
people magazine,left,https://www.youtube.com/channel/UCGbQJy-531_5vfphay-rChQ,233652355,314492,5974
rappler,left,https://www.youtube.com/channel/UCdnZdQxYXnbN4uWJg96oGxw,218410021,307641,24300
left wing nation,left,https://www.youtube.com/channel/UCHqC-yWZ1kri4YzwRSt6RGQ,62791272,300834,2060
raw progressive,left,https://www.youtube.com/channel/UCUopvBtHeCwvIQJwiUI6Wmw,87839434,251334,1620
new yorker,left,https://www.youtube.com/channel/UCsD-Qms-AkXDrsU962OicLw,64082253,224620,1118
washington journal (not c-span),left,https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg,189423062,221629,6512
ring of fire,left,https://www.youtube.com/channel/UCYWIEbibRcZav6xMLo9qWWw,96841747,209659,7932
ms. (magazine),left,https://www.youtube.com/channel/UCK2OIDo6C3b3V0k-jnZb-RA,44129672,208843,859
upworthy,left,https://www.youtube.com/channel/UCswDowOOvJ-fkCgH9YAITjQ,13946974,162957,242
uproxx,left,https://www.youtube.com/channel/UCueKD4jxzgHvCISK2pBt0cQ,68272186,148852,789
slate,left,https://www.youtube.com/channel/UCYC4ijpFZY_CtdElWFyy-Gg,115636068,146112,3094
merry jane,left,https://www.youtube.com/channel/UCSecgeLcJ6qXmE-tgOMYM1Q,28268019,134822,420
blue dot daily,left,https://www.youtube.com/channel/UC6uKrU_WqJ1R2HMTY3LIx5Q,7550839,130391,107
fifth estate,left,https://www.youtube.com/channel/UCa-bX3gZC3YnCThlGM5d38Q,19168022,128584,215
meduza,left,https://www.youtube.com/channel/UC-30BJyAAObw1irWxu6IPkw,31180287,125223,763
revolution news,left,https://www.youtube.com/channel/UCz4wetSaxA-UJDdSQ-OuFJg,6635659,123257,95
good magazine,left,https://www.youtube.com/channel/UCeHHAF22PljrnnjskZeljmg,28127274,110345,350
new york magazine,left,https://www.youtube.com/channel/UCJNMUA0J-hgaTmiNEYZf2Jw,69754901,108137,630
