media,bias,youtubeChannel,viewCount,subscribersCount,videoCount
buzzfeed,leftcenter,https://www.youtube.com/channel/UCpko_-a4wgz2u_DgDgd9fqA,13680042467,16938328,5424
american public media (apr),leftcenter,https://www.youtube.com/channel/UCPDis9pjXuqyI7RYLJ-TTSA,4799253260,13961840,669
corporate presidency,leftcenter,https://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,1635080158,6319081,243
abc news,leftcenter,https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,4087765148,4132630,43207
al-hayat,leftcenter,https://www.youtube.com/channel/UCWuj6cpZL_T1U508Y082u3g,1992601722,3481292,127549
vice news,leftcenter,https://www.youtube.com/channel/UCZaT_X_mc0BI-djXOlfhqWQ,803368897,3224352,3210
bbc,leftcenter,https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA,808597227,2856088,8678
inquisitr,leftcenter,https://www.youtube.com/channel/UCS7b93ZwoL1xt2hR7a7l2mg,583329356,2438127,531
wired magazine,leftcenter,https://www.youtube.com/channel/UCftwRNsjfRo08xYE31tkiyw,658517737,2386328,2708
al jazeera,leftcenter,https://www.youtube.com/channel/UCNye-wNBqNL5ZzHSJj3l8Bg,1125139223,2344119,74625
ndtv,leftcenter,https://www.youtube.com/channel/UCZFMm1mMw0F81Z37aaEzTUA,1132388094,2234429,68831
the verge,leftcenter,https://www.youtube.com/channel/UCddiUEpeqJcYeBxX1IVBKvQ,542306114,2026929,3551
oneindia,leftcenter,https://www.youtube.com/channel/UCOjgc1p2hJ4GZi6pQQoXWYQ,637820651,1809299,26018
npr,leftcenter,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A,435917357,1702401,1417
koko news 5,leftcenter,https://www.youtube.com/channel/UCHUlmzuatJMUXWgzlIkWNWA,99398001,1540159,136
new york times,leftcenter,https://www.youtube.com/channel/UCqnbDFdCpuN8CMEg0VuEBqA,590491394,1381383,9229
glamour magazine,leftcenter,https://www.youtube.com/channel/UCY9eEaH19ulZmdusctU1ejA,389849099,1243913,1513
scoopwhoop,leftcenter,https://www.youtube.com/channel/UCx2HcmpB-UZGkMXOCJ4QIVA,167773977,1235500,470
bloomberg,leftcenter,https://www.youtube.com/channel/UCUMZ7gohGI9HcU9VNsr2FJQ,317546733,1061549,47685
rationalwiki,leftcenter,https://www.youtube.com/channel/UC0aanx5rpr7D1M7KCFYzrLQ,63473890,1009922,61
business insider,leftcenter,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA,378703400,890095,4350
cbs news,leftcenter,https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g,715930058,826883,63226
fusion,leftcenter,https://www.youtube.com/channel/UCuqBZWK9Wrol_4Y22DzisFQ,139022844,818319,772
sky news,leftcenter,https://www.youtube.com/channel/UCoMdktPbSTixAyNGwb-UYkQ,312007613,801913,9240
malaysiakini,leftcenter,https://www.youtube.com/channel/UC9ULnkwvyofZ_sWrzRpyvrg,752564817,788604,50087
cbc news,leftcenter,https://www.youtube.com/channel/UCuFFtHWoLl5fauMMD5Ww2jA,358527922,786094,10635
nbc news,leftcenter,https://www.youtube.com/channel/UCeY0bbntWzzVIaj2z3QigXg,345738690,773925,12624
france24,leftcenter,https://www.youtube.com/channel/UCCCPCZNChQdGa9EkATeye4g,319035489,760808,51260
pbs news hour,leftcenter,https://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ,389894484,758658,21691
