media, bias, youtubeChannel, viewCount, subscribersCount, videoCount
free west media, right, https://www.youtube.com/channel/UCJ6td3C9QlPO9O_J5dF4ZzA, 2101609553, 6933194, 1335
us politics info, right, https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246761, 141852
first things magazine, right, https://www.youtube.com/channel/UCCFJeI-2sT_cWgz-QJRgbCw, 372414074, 4071234, 21
life and about, right, https://www.youtube.com/channel/UC7IcJI8PUf5Z3zKxnZvTBog, 333342290, 3726471, 627
american web media (awm), right, https://www.youtube.com/channel/UCxNMYToYIBPYV829BJcmUQg, 651895732, 2519815, 1842
louder with crowder, right, https://www.youtube.com/channel/UCIveFvW-ARp_B_RckhweNJw, 467760962, 2305836, 726
life news, right, https://www.youtube.com/channel/UCJekW1Vj5fCVEGdye_mBN6Q, 711184921, 1691387, 25960
usa politics today, right, https://www.youtube.com/channel/UCXIJgqnII2ZOINSWNOGFThA, 993343789, 1462919, 51304
fox news, right, https://www.youtube.com/channel/UCXIJgqnII2ZOINSWNOGFThA, 993343789, 1462912, 51302
whatfinger, right, https://www.youtube.com/channel/UCzUV5283-l5c0oKRtyenj6Q, 332835966, 1289779, 1387
1600 daily, right, https://www.youtube.com/channel/UCYxRlFDqcWM4y7FfpiAN3KQ, 65060181, 1082232, 1246
the rebel, right, https://www.youtube.com/channel/UCGy6uV7yqGWDeUWTZzT3ZEg, 339691633, 965137, 8876
daily express, right, https://www.youtube.com/channel/UCTur7oM6mLL0rM2k0znuZpQ, 240119256, 870257, 12517
the daily wire, right, https://www.youtube.com/channel/UCaeO5vkdj5xOQHp4UmIN6dw, 149812936, 801941, 2101
the citizens press, right, https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g, 301402696, 660666, 66869
next news network, right, https://www.youtube.com/channel/UCLoNQH9RCndfUGOb2f7E1Ew, 664891337, 656744, 18527
acting man, right, https://www.youtube.com/channel/UC7WDD6yHgzdqijHluCi1z-Q, 34044201, 324562, 123
dc whispers, right, https://www.youtube.com/channel/UCgGhVPf9JH9S41mJwJwgNbg, 66984826, 249754, 276
pj media, right, https://www.youtube.com/channel/UCWq53_f3zgMcWuE-XFKSpyQ, 89288322, 228538, 3390
trt world, right, https://www.youtube.com/channel/UC7fWeaHhqgM4Ry-RMpM2YYw, 86374858, 224268, 28651
anadolu agency, right, https://www.youtube.com/channel/UCVbZYhcirOke2vipxs4lT2w, 130935845, 193377, 8896
national rifle association (nra), right, https://www.youtube.com/channel/UCZr49eSL2aHQ_41476IrkbA, 72793264, 161652, 4291
project veritas, right, https://www.youtube.com/channel/UCL9PlYkRD3Q-RZca6CCnPKw, 34486328, 161431, 348
american enterprise institute, right, https://www.youtube.com/channel/UCt8lRYpzb-sSrKFb4DT2ECw, 22426888, 152773, 2812
one america news network, right, https://www.youtube.com/channel/UCNbIDJNNgaRrXOD7VllIMRQ, 24533834, 150210, 4382
onenewsnow, right, https://www.youtube.com/channel/UCNbIDJNNgaRrXOD7VllIMRQ, 24533834, 150210, 4382
liberty news, right, https://www.youtube.com/channel/UCkJ1N-7g9Q6n7KnriGit-Ig, 13484649, 140110, 952
ron paul liberty report, right, https://www.youtube.com/channel/UCkJ1N-7g9Q6n7KnriGit-Ig, 13484649, 140110, 952
the ron paul institute, right, https://www.youtube.com/channel/UCkJ1N-7g9Q6n7KnriGit-Ig, 13484649, 140110, 952
daily mail, right, https://www.youtube.com/channel/UCw3fku0sH3qA3c3pZeJwdAw, 89527584, 125691, 29496
judicial watch, right, https://www.youtube.com/channel/UCGDaOZg2INC0Qg2Z203F1dA, 15594470, 111491, 1026
