media, bias, youtubeChannel, viewCount, subscribersCount, videoCount
big think, center, https://www.youtube.com/channel/UCvQECJukTDE2i6aCoMnS-Vg, 268571789, 2343188, 10725
today i found out, center, https://www.youtube.com/channel/UC64UiPJwM_e9AqAd7RiD7JA, 261211868, 1489899, 1095
mental floss, center, https://www.youtube.com/channel/UCpZ5qUqpW4hW4zdfuBxMSJA, 179639954, 1343002, 386
associated press, center, https://www.youtube.com/channel/UC52X5wxOL_s5yw0dQk7NtgA, 1996018328, 886191, 118447
india today, center, https://www.youtube.com/channel/UCYPvAwZP8pZhSMW8qs7cVCw, 230631853, 742604, 52233
the times of india, center, https://www.youtube.com/channel/UCckHqySbfy5FcPP6MD_S-Yg, 306518755, 634243, 74595
euronews, center, https://www.youtube.com/channel/UCSrZ3UV4jOidv8ppoVuvW9Q, 445701745, 518972, 62150
the economist, center, https://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ, 59530571, 511751, 1692
china global television network (cgtn), center, https://www.youtube.com/channel/UCgrNz-aDmcr2uuto8_DL2jg, 451812008, 449211, 55405
relevant magazine, center, https://www.youtube.com/channel/UC4WdIJ_D_lJb87uE3JV5SgQ, 103097091, 286619, 294
abc news australia, center, https://www.youtube.com/channel/UCVgO39Bk5sMo66-6o6Spn6Q, 193667568, 278723, 52505
consumer reports, center, https://www.youtube.com/channel/UCOClvgLYa7g75eIaTdwj_vg, 118937859, 263509, 2278
world economic forum, center, https://www.youtube.com/channel/UCw-kH-Od73XDAt7qtH9uBYA, 30473090, 224410, 6135
c-span, center, https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg, 189423062, 221630, 6512
rte (radio television of ireland), center, https://www.youtube.com/channel/UCGnlgHCdAsCNeAdNRTbS4hg, 200575793, 206598, 7106
financial times, center, https://www.youtube.com/channel/UCoUxsWakJucWg46KW5RsvPw, 39813926, 200428, 8842
harvard business review, center, https://www.youtube.com/channel/UCWo4IA01TXzBeGJJKWHOG9g, 10590883, 179007, 255
military.com, center, https://www.youtube.com/channel/UC7F2QS7wk6Eq9Z4uabl5rmg, 30002520, 176451, 193
vocativ, center, https://www.youtube.com/channel/UCe2PK9vNxfogdvkx4jqB8uQ, 79298311, 162265, 3179
wion (world is one news), center, https://www.youtube.com/channel/UC_gUM8rL-Lrg6O3adPW9K1g, 51001139, 158198, 22688
the indian express, center, https://www.youtube.com/channel/UCJEDFSxHHOW1PpBccdSxOTA, 66309203, 154155, 7318
makeuseof, center, https://www.youtube.com/channel/UCfXdejDvNviqilmJ9DvGuow, 11658981, 152581, 670
news24 (south africa), center, https://www.youtube.com/channel/UC_vRepQuzI527GtEP1pGYZw, 118218100, 124545, 15504
recode, center, https://www.youtube.com/channel/UCMDxbhGcsE7EnknxPEzC_Iw, 17581054, 108519, 482
investopedia, center, https://www.youtube.com/channel/UCvwFhI0mrIWDiZUabRapS5Q, 4289183, 103898, 180
