media, bias, youtubeChannel, viewCount, subscribersCount, videoCount
vox, left, https://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
cnn, left, https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
young turks, left, https://www.youtube.com/channel/UC1yBKRuGpC1tSM73A0ZjYjQ, 4294839709, 4013553, 33411
gq magazine, left, https://www.youtube.com/channel/UCsEukrAd64fqA7FjwkmZ_Dw, 775844548, 2398685, 2128
msnbc, left, https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg, 954696519, 1053122, 14565
vanity fair, left, https://www.youtube.com/channel/UCIsbLox_y9dCIMLd8tdC6qg, 407558372, 861550, 1874
mashable, left, https://www.youtube.com/channel/UCL8Nxsa1LB9DrMTHtt3IKiw, 201379202, 712932, 3915
cosmopolitan, left, https://www.youtube.com/channel/UC4LADtN8xwppFydHUB1s5uA, 221569846, 694299, 2299
huffington post (huffpost), left, https://www.youtube.com/channel/UCZfsrIV68Oegr5bJgAMLBDA, 300977661, 459267, 1940
elite daily, left, https://www.youtube.com/channel/UCqLj_VGACwmDa0FZ4UV3j-w, 161873658, 424249, 728
democracy now, left, https://www.youtube.com/channel/UCzuqE7-t13O4NIDYJfakrhw, 109874730, 389321, 9140
people magazine, left, https://www.youtube.com/channel/UCGbQJy-531_5vfphay-rChQ, 233652355, 314492, 5974
rappler, left, https://www.youtube.com/channel/UCdnZdQxYXnbN4uWJg96oGxw, 218410021, 307641, 24300
new yorker, left, https://www.youtube.com/channel/UCsD-Qms-AkXDrsU962OicLw, 64082253, 224620, 1118
ring of fire, left, https://www.youtube.com/channel/UCYWIEbibRcZav6xMLo9qWWw, 96841747, 209659, 7932
upworthy, left, https://www.youtube.com/channel/UCswDowOOvJ-fkCgH9YAITjQ, 13946974, 162957, 242
uproxx, left, https://www.youtube.com/channel/UCueKD4jxzgHvCISK2pBt0cQ, 68272186, 148852, 789
slate, left, https://www.youtube.com/channel/UCYC4ijpFZY_CtdElWFyy-Gg, 115636068, 146112, 3094
merry jane, left, https://www.youtube.com/channel/UCSecgeLcJ6qXmE-tgOMYM1Q, 28268019, 134822, 420
good magazine, left, https://www.youtube.com/channel/UCeHHAF22PljrnnjskZeljmg, 28127274, 110345, 350
new york magazine, left, https://www.youtube.com/channel/UCJNMUA0J-hgaTmiNEYZf2Jw, 69754901, 108137, 630
