media, bias, youtubeChannel, viewCount, subscribersCount, videoCount
abc news, leftcenter, https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q, 4087765148, 4132630, 43207
vice news, leftcenter, https://www.youtube.com/channel/UCZaT_X_mc0BI-djXOlfhqWQ, 803368897, 3224352, 3210
bbc, leftcenter, https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA, 808597227, 2856088, 8678
wired magazine, leftcenter, https://www.youtube.com/channel/UCftwRNsjfRo08xYE31tkiyw, 658517737, 2386328, 2708
al jazeera, leftcenter, https://www.youtube.com/channel/UCNye-wNBqNL5ZzHSJj3l8Bg, 1125139223, 2344119, 74625
ndtv, leftcenter, https://www.youtube.com/channel/UCZFMm1mMw0F81Z37aaEzTUA, 1132388094, 2234429, 68831
the verge, leftcenter, https://www.youtube.com/channel/UCddiUEpeqJcYeBxX1IVBKvQ, 542306114, 2026929, 3551
new york times, leftcenter, https://www.youtube.com/channel/UCqnbDFdCpuN8CMEg0VuEBqA, 590491394, 1381383, 9229
glamour magazine, leftcenter, https://www.youtube.com/channel/UCY9eEaH19ulZmdusctU1ejA, 389849099, 1243913, 1513
scoopwhoop, leftcenter, https://www.youtube.com/channel/UCx2HcmpB-UZGkMXOCJ4QIVA, 167773977, 1235500, 470
bloomberg, leftcenter, https://www.youtube.com/channel/UCUMZ7gohGI9HcU9VNsr2FJQ, 317546733, 1061549, 47685
business insider, leftcenter, https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA, 378703400, 890095, 4350
cbs news, leftcenter, https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g, 715930058, 826883, 63226
sky news, leftcenter, https://www.youtube.com/channel/UCoMdktPbSTixAyNGwb-UYkQ, 312007613, 801913, 9240
cbc news, leftcenter, https://www.youtube.com/channel/UCuFFtHWoLl5fauMMD5Ww2jA, 358527922, 786094, 10635
nbc news, leftcenter, https://www.youtube.com/channel/UCeY0bbntWzzVIaj2z3QigXg, 345738690, 773925, 12624
pbs news hour, leftcenter, https://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ, 389894484, 758658, 21691
usa today, leftcenter, https://www.youtube.com/channel/UCP6HGa63sBC7-KHtkme-p-g, 800925984, 673545, 19665
the guardian, leftcenter, https://www.youtube.com/channel/UCHpw8xwDNhU9gdohEcJu4aA, 235358942, 607762, 6473
engadget, leftcenter, https://www.youtube.com/channel/UC-6OW5aJYBFM33zXQlBKPNA, 170360056, 549821, 4061
republic world, leftcenter, https://www.youtube.com/channel/UCwqusr8YDwM-3mEYTDeJHzw, 119018225, 540698, 9798
time, leftcenter, https://www.youtube.com/channel/UC8Su5vZCXWRag13H53zWVwA, 198868148, 430646, 5325
washington post, leftcenter, https://www.youtube.com/channel/UCHd62-u_v4DvJ8TCFtpi4GA, 214165146, 377566, 10461
hollywood reporter, leftcenter, https://www.youtube.com/channel/UCZ8Sxmkweh65HetaZfR8YuA, 139010954, 370178, 3746
techcrunch, leftcenter, https://www.youtube.com/channel/UCCjyq_K1Xwfg8Lndy7lKMpA, 112132995, 369275, 7910
cnbc, leftcenter, https://www.youtube.com/channel/UCvJJ_dzjViJCoLf5uKUTwoA, 128965489, 333315, 13375
dw news (deutsche welle), leftcenter, https://www.youtube.com/channel/UCknLrEdhRCp1aegoMqRaCZg, 131166032, 329976, 21425
hindustan times, leftcenter, https://www.youtube.com/channel/UCm7lHFkt2yB_WzL67aruVBQ, 133688769, 317083, 8731
rolling stone, leftcenter, https://www.youtube.com/channel/UC-JblcinswY50lrUdSaRNEg, 101641688, 286403, 1538
lifehacker, leftcenter, https://www.youtube.com/channel/UCYGnmkFGP4EgAOqu58JA_lg, 60700944, 275382, 939
real news network, leftcenter, https://www.youtube.com/channel/UCrmm_7RDZJeQzq2-wvmjueg, 83997212, 237352, 11474
global news, leftcenter, https://www.youtube.com/channel/UChLtXXpo4Ge1ReTEboVvTDg, 194147872, 232616, 8039
feminist frequency, leftcenter, https://www.youtube.com/channel/UC7Edgk9RxP7Fm7vjQ1d-cDA, 29411711, 224060, 193
press tv, leftcenter, https://www.youtube.com/channel/UCaFxVc4xHOea6s5CO0eBxIA, 121970284, 195448, 51350
global citizen, leftcenter, https://www.youtube.com/channel/UCg3_C7BwcV0kBlJbBFHTPJQ, 102762401, 167774, 988
(the)atlantic, leftcenter, https://www.youtube.com/channel/UCK0z0_5uL7mb9IjntOKi5XQ, 37896156, 162495, 545
la times, leftcenter, https://www.youtube.com/channel/UCw3SYO_euO0TSPC_m_0Pzgw, 204956095, 133792, 13777
san francisco globe, leftcenter, https://www.youtube.com/channel/UCeFBQmxaVN-grC9sFmz5ucA, 65655955, 130449, 40, descontinuado
yahoo news, leftcenter, https://www.youtube.com/channel/UCF7hznHog_lCTbwxjj1jrPg, 60751535, 124993, 2847
ctv news, leftcenter, https://www.youtube.com/channel/UCi7Zk9baY1tvdlgxIML8MXg, 77082305, 104877, 6592
scroll.in, leftcenter, https://www.youtube.com/channel/UCl8zB2LZOiLLV0jYUMpTEgA, 7362650, 104294, 442
new york daily news, leftcenter, https://www.youtube.com/channel/UCx-h2AWPCBJEqzH9HXe2ZIA, 138663980, 101796, 11604
