media,bias,youtube_channel,viewCount,subscribersCount,videoCount
21st century wire,conspiracy,UCY_sGiAswJNo8HQBOKme01g,689664,4746,87
369news,conspiracy,UC5C1qYjVmMOj3851A6cVl5A,107,0,4
a sheep no more,conspiracy,UCJ6_-TU5znYFbzZmtEmXB3A,0,174,0
abel danger,conspiracy,UCRGIwParDeoovmhflq9Agmg,4683297,43601,957
above top secret,conspiracy,UCourxr_huioBTtIltwH4_6w,41153,967,161
acn latitudes,conspiracy,UCbWF1ZTbNqsNX51u59dWuuA,772,24,1
activist post,conspiracy,UC3lCJ54xYOTnsFd66cdARvw,210,33,1
alt-market,conspiracy,UCkpt3vvZ0Y0wvTX2L-lkxsg,8043320,127496,435
awdnews,conspiracy,UCUu9jk-e4QDkUjKsA8bCLMQ,33,1,1
alliance for advanced health,conspiracy,UClgTTElgXbnjYnCrRqq1aoQ,108245,739,47
alt health works,conspiracy,UCAShhugQ4h0RwnsFCuPOnCA,47472,54,1
alternative media television (amtv),conspiracy,UChD-zWutIego-bcHKOatFWA,14263685,507554,205
alternative news network,conspiracy,UCLoNQH9RCndfUGOb2f7E1Ew,664875788,656740,18525
american digital news,conspiracy,UClq-UGUiKx_xM0VHztdiuIQ,1757,31,30
american free press,conspiracy,UCseEm_OTxRSzs8L_FTFP8Dg,2034641,9330,357
american intelligence media (aim4truth),conspiracy,UCv0dEcvXLOf4ZFvjCahK4Lw,7230955,59987,308
american intelligencer report,conspiracy,UC5FG6t0zsja6yO_ctOtu0Cw,4115,0,40
ancient code,conspiracy,UC4G5Fx8mwdYKoEswpJtlMZg,1765782,5154,118
ancient origins,conspiracy,UCblsdi4UwxXHG8jVLnZBNUQ,1136405,6732,60
anderson institute,conspiracy,UCEcrJlIsab_DfdnK36xl-4Q,1876,16,5
anti news network,conspiracy,UCLoNQH9RCndfUGOb2f7E1Ew,664875788,656740,18525
anonymous,conspiracy,UCA071Pllf2wk-B8Rkwt47bQ,120553132,2083299,278
answers in genesis,conspiracy,UCicvc24eAbFp-thRrBnSP2A,10360002,57611,469
architects & engineers for 9/11 truth,conspiracy,UCL-c_zvZ3lhlU7NU1ikxgmQ,7323469,43786,1116
asia-pacific research,conspiracy,UC2O4CSSOYzv13iqOlyZT8rQ,136,5,3
australian national review,conspiracy,UCcHaesa3XkC9bxLoxdqjboA,315,2,18
autism speaks,conspiracy,UCyG1Rhuo7Qe1SpxlrRffgKQ,52086,1090,50
awareness act,conspiracy,UCxmKhriUP1A07rw3BqoJRnA,209087,1273,11
behold israel,conspiracy,UCa3C7WpFobavsDJdkKUtodw,13192199,109006,232
biologos foundation,conspiracy,UCcin1Z87nG_eeBQL00JK62A,1014667,7338,159
blacklisted news,conspiracy,UCSu_lOVgVfOR3oN7yz6EE3w,63668,1648,244
catholic online,conspiracy,UCoNabUSDcUb9iuSr256mLMg,30106851,65454,2176
center for security policy,conspiracy,UCPPw4A4ZmhK_e95S2Ka0Xaw,8331041,17057,1295
charisma news,conspiracy,UCMtPsQm7w6O9C9iuAx4sdGA,940190,3203,247
christian broadcasting network (cbn),conspiracy,UCj-Mjn68ap6Hgj6sxp2rpRA,74987078,140566,9565
christian ministries international,conspiracy,UCigewtuJ8gDijKScjZPvJLw,2732,68,4
christian science,conspiracy,UCK_lqeJbm47tLmGRh4tI1yw,956642,3133,77
christian times newspaper,conspiracy,UCU1iJ2ChGwaNLvBjip0p2Ag,191469242,862564,1068
christiantoday.info,conspiracy,UCODm_-jvMmpRV3pTEQLukew,493635,5820,112
climate etc,conspiracy,UCopIR8bYcb027h6z_jLcXfA,0,0,0
coast to coast am,conspiracy,UCVmlEoDSeImXV5aPz8EvP0A,6902668,96820,684
collectively conscious,conspiracy,UCgpFBeEvrSDwei0vjgP8Gqg,690731,5327,92
collective-evolution,conspiracy,UCoSbVb7GlChgrkmlGjPCZiw,6584120,64837,288
conscious life news,conspiracy,UCKbdjvSIO2JbESQePfvTFXg,496528,2730,71
conspiracy daily update,conspiracy,UCe5ftRGTXfRa5gIG11bCoKg,799,11,7
cosmic intelligence agency,conspiracy,UCWILtFBYc33PZS7FaL19Ehw,288899,2238,62
counter current news,conspiracy,UCUIjs9R044OjAxKzk0xhGoQ,16346306,80016,2686
counterpsyops,conspiracy,UCwWfZ1_dO6K3zjL0JnWVBhA,853,4,1
covert geopolitics,conspiracy,UCf0K005NReoTsg7GTLVBYXQ,29452,390,9
creationwiki,conspiracy,UC4WkVZLQ_xlJ4by7JEnKSQQ,8896905,15426,1060
cs globe,conspiracy,UCcGWUBcmlSvN27j9Ungt2Pg,40,20,1
curious mind magazine,conspiracy,UCFPQbefZw4e6flFyAiOIskw,36,1,1
daily occupation,conspiracy,UCGwmNzJHXiTD8X05Ky5eeMQ,1255,8,9
daily star uk,conspiracy,UCuicR3jtE8DmU6atAG8t4UA,4698,0,4
david icke,conspiracy,UCAhmDfQ1LfOYECmNNWgXJ7Q,64683290,469807,650
data asylum,conspiracy,UCIUVH68BgqNhgzXjXZTwDtg,91966,2960,37
disclose tv,conspiracy,UCA-Ls4dkRBXHMjRjeTDTdjg,145299,8062,31
discovery institute,conspiracy,UCm3i_fqq8dqsV-dTAriv2KA,1165906,9482,140
dr. axe,conspiracy,UCgtp61tf9tYF7nG_gIQ94LQ,107707730,1278166,697
doctoroz.com (dr. oz),conspiracy,UCnJwlV-yBxbdIntK9hGyAtQ,49470,0,46
eco news,conspiracy,UCzv6ensQNKDbw9Q0OwTzInA,7909,44,30
ecowatch,conspiracy,UCxNUGPwBSjDJzKHsfo21NXw,29358,173,19
educate inspire change,conspiracy,UCyUPjC7ynR4SJoLR-f-OtGw,11186903,30583,108
educate-yourself,conspiracy,UCdM8_cV49RyfmldKKVl6FZQ,45993,4961,44
eluxe magazine,conspiracy,UChT6CkYg9qNfqyNN4tufQ9w,6,1,3
end time headlines,conspiracy,UCOKsAZ0DrWEZRxzLeHEcMFQ,1237603,21400,545
enlightened planet,conspiracy,UC3J_x-yIgAeHl2MhmKv9z2Q,171823,0,32
environmental working group (ewg),conspiracy,UC0HuASskjV3jhgj2ONLc8VA,1239214,8458,158
escape all these things,conspiracy,UCMvUfgTHoiE-tHn2kQenRsQ,1369,9,7
every news here,conspiracy,UC-lHJZR3Gqxm24_Vd_AJ5Yw,18371299254,64504261,3581
extraordinary news,conspiracy,UCYw2_F1xHedGWww3MR8YAnw,61225428,636906,416
faithpanda,conspiracy,UC8BKgn6oe6wq9X1SipxTsyA,0,10,0
food babe,conspiracy,UCPmpFpGkhwxs42hexGB_bTA,2856475,38908,47
food matters,conspiracy,UCrrixaOr-bEIxIP_J1UUnsg,7512070,29684,160
freedomain radio,conspiracy,UCC3L8QaxqEGUiBC252GHy3w,248919884,803090,2977
freethought project,conspiracy,UCmT7hTV8VJU6CiCGEs6hFbw,29343641,34401,234
friends of science,conspiracy,UCSjTdgNgUW7VNfemabYV3Kg,394705,1317,212
from the trenches world report,conspiracy,UCUcyEsEjhPEDf69RRVhRh4A,141804690,884066,608
geoengineering watch,conspiracy,UC18-7qYJWAqM9eF1GvMn6Og,8755869,70580,250
global healing center,conspiracy,UCUYI_ovPG0xO3mCjVCWvcbA,18189564,132755,262
global research,conspiracy,UCvtTGZEcS8mbWdB7prg4QNw,4402284,33469,442
global skywatch,conspiracy,UCqtAciIk1gbQi8WseAmXx5A,147004,1884,297
godlike productions,conspiracy,UCzH5mWrWVBCfPGj5MQKQnRw,18691,291,31
got questions,conspiracy,UCrHADU8H0P2Q_79sAhYjlGA,2751906,40011,174
greenpeace,conspiracy,UCjgJNDwtoqJilBjuFpGOlNg,5908776,21991,689
gulag bound,conspiracy,UCMEVzJYm8Yl45n9jR2c2RNA,8828,69,7
haarp.net,conspiracy,UCvNILC-oKDoxq2BZlpi8YRw,1693924,12710,299
health consciousness,conspiracy,UCjqlYmzSbQl6UvHAvB2miKw,59146,11354,7
health eternally,conspiracy,UCMEsj1gcvtqix9NNVuVqnIg,246,0,17
health impact news,conspiracy,UCXCb-o_QC2fAfeGx3eSCDTw,25822,253,14
